source,target, weatherStationId,commsIssuesFlag,createdAt,dataIssuesFlag,dlfLossFactor,generationWatt,latitude,longitude,mlfLossFactor,nearestBomStationId,nextProcessDueAt,nodeType,performanceSinceInceptionSortKey,pvSizeWatt,timezone
SITE|48b3678f-7d2b-4b19-a0b6-491146d0560e,SITE|48b3678f-7d2b-4b19-a0b6-491146d0560e,,FALSE,2023-06-27T05:30:20.690079Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009172,,SITE,,5000,Australia/Perth
SITE|d20447e8-ceb6-4eda-9419-3e479494d18e,SITE|d20447e8-ceb6-4eda-9419-3e479494d18e,,,2023-01-18T04:41:17.921266Z,,,0,-26.4390917,133.281323,,au.bom.site.009204,2023-06-26T13:43:41.975872+00:00,SITE,98,20550,Australia/Perth
SITE|f2e764f4-c088-4e56-a462-e8bc037abd42,SITE|f2e764f4-c088-4e56-a462-e8bc037abd42,,FALSE,2023-06-13T06:08:28.261137Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.031222,2023-07-17T08:16:28.670749+00:00,SITE,,12500,Australia/Brisbane
SITE|daff328c-968c-4d89-bfe6-6375ac9834e2,SITE|daff328c-968c-4d89-bfe6-6375ac9834e2,,,2023-01-18T04:06:48.996653Z,,,0,-26.4390917,133.281323,,au.bom.site.041529,2023-05-03T09:40:57.732163+00:00,SITE,91,278400,Australia/Brisbane
SITE|e286583e-a7c6-40a9-98c4-3e9cf3e49730,SITE|e286583e-a7c6-40a9-98c4-3e9cf3e49730,,,2022-11-21T05:23:10.245589Z,,,0,-26.4390917,133.281323,,au.bom.site.009999,2023-05-03T09:47:47.138594+00:00,SITE,97,99900,Australia/Perth
SITE|23dae8c9-e6f5-43d9-9eb6-6c06029de3f9,SITE|23dae8c9-e6f5-43d9-9eb6-6c06029de3f9,,,2022-11-16T05:53:11.984064Z,,,0,-26.4390917,133.281323,,au.bom.site.053115,2023-05-03T08:41:48.862226+00:00,SITE,76,99970,Australia/Sydney
SITE|7de47f9f-4846-4fea-bcab-1d5e410aea73,SITE|7de47f9f-4846-4fea-bcab-1d5e410aea73,,,2023-02-01T06:07:56.332376Z,,,0,-26.4390917,133.281323,,au.bom.site.066214,2023-07-10T06:42:00.795569+00:00,SITE,77,348300,Australia/Sydney
SITE|89c57874-7a50-4687-a3e9-45114776717c,SITE|89c57874-7a50-4687-a3e9-45114776717c,,,2022-11-16T04:38:25.574273Z,,,0,-26.4390917,133.281323,,au.bom.site.086338,2023-06-26T17:43:20.112603+00:00,SITE,88,23400,Australia/Melbourne
SITE|95427359-7ffb-480b-90a3-c40cd44ffffc,SITE|95427359-7ffb-480b-90a3-c40cd44ffffc,,,2021-07-09T02:53:53.576868Z,,,7476,-26.4390917,133.281323,,au.bom.site.061055,2023-07-28T07:41:11.141006+00:00,SITE,62,9945,Australia/Sydney
SITE|2fcdb729-68dd-44d2-b9a2-776ce68b162b,SITE|2fcdb729-68dd-44d2-b9a2-776ce68b162b,,FALSE,2023-06-27T05:56:23.054462Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009215,,SITE,,8200,Australia/Perth
SITE|44bc6f52-9b18-46ba-96a4-3b7d0ca68b38,SITE|44bc6f52-9b18-46ba-96a4-3b7d0ca68b38,,FALSE,2023-06-19T06:43:37.352259Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009225,2023-07-28T10:05:56.431684+00:00,SITE,,5000,Australia/Perth
SITE|e11c51a1-3d78-4619-bd9a-72aa69f5568a,SITE|e11c51a1-3d78-4619-bd9a-72aa69f5568a,,FALSE,2023-06-13T01:11:52.531717Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.040913,2023-07-15T17:42:16.365393+00:00,SITE,122,8200,Australia/Brisbane
SITE|0bbd01bc-afb6-4464-a248-fd7cb49d9d0d,SITE|0bbd01bc-afb6-4464-a248-fd7cb49d9d0d,,,2023-01-18T04:31:18.924444Z,,,0,-26.4390917,133.281323,,au.bom.site.023894,2023-05-03T08:48:19.556839+00:00,SITE,90,99970,Australia/Adelaide
SITE|1fab954e-527e-4dce-ab21-e53580a866e3,SITE|1fab954e-527e-4dce-ab21-e53580a866e3,,,2023-02-03T03:48:41.415422Z,,,0,-26.4390917,133.281323,,au.bom.site.086104,2023-07-10T16:43:34.423616+00:00,SITE,90,99820,Australia/Melbourne
SITE|a47f85d1-e50e-48c0-acd0-71e6e3cb1e92,SITE|a47f85d1-e50e-48c0-acd0-71e6e3cb1e92,,FALSE,2023-06-29T01:10:41.799289Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.040913,,SITE,,30000,Australia/Brisbane
SITE|ef791cd0-a7c2-4b93-94a8-3bb51c8bb681,SITE|ef791cd0-a7c2-4b93-94a8-3bb51c8bb681,,FALSE,2023-06-29T01:32:29.939842Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009225,,SITE,,6540,Australia/Perth
SITE|b77dbbdd-fa34-4bda-a943-a4746f27c0aa,SITE|b77dbbdd-fa34-4bda-a943-a4746f27c0aa,,FALSE,2023-06-29T04:07:37.796500Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009225,,SITE,,8200,Australia/Perth
SITE|0f923440-63aa-44d8-a3e5-f0bbde7301e1,SITE|0f923440-63aa-44d8-a3e5-f0bbde7301e1,,FALSE,2023-06-12T23:30:37.605890Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009518,2023-07-16T16:39:32.213564+00:00,SITE,,15000,Australia/Perth
SITE|1a3a3979-bdeb-4da8-afea-0fae4f8f5bd5,SITE|1a3a3979-bdeb-4da8-afea-0fae4f8f5bd5,,FALSE,2023-06-29T03:55:49.020152Z,FALSE,,0,-26.4390917,133.281323,,au.bom.site.009021,,SITE,,15000,Australia/Perth
