source,target,azimuth,createdAt,latitude,longitude,loss,manufacturerApi,nodeSort,nodeType,pvSizeWatt,siteId,tilt,weatherStationId
MNTR|100001001,MNTR|100001001,43,2022-08-22T03:14:28.244932Z,-26.4390917,133.281323,0.15,SMA,100001001,MNTR,26220,SITE|aa44f63b-66ef-4bf5-911f-08de7bc1a57d,3,au.bom.site.066059
MNTR|81cbc09b-5419-44c6-9dd1-a969007a0614,MNTR|81cbc09b-5419-44c6-9dd1-a969007a0614,0,2023-07-03T04:06:48.463144Z,-26.4390917,133.281323,0.15,FRONIUS,81cbc09b-5419-44c6-9dd1-a969007a0614,MNTR,33000,SITE|830e1b99-a0bb-465b-8c21-feb5689923cb,10,au.bom.site.070351
MNTR|6463278,MNTR|6463278,0,2022-11-30T04:04:08.499501Z,-26.4390917,133.281323,0.15,SMA,6463278,MNTR,23400,SITE|89c57874-7a50-4687-a3e9-45114776717c,10,au.bom.site.086338
MNTR|cd8364f2-f42d-4301-9484-a05bafe4b901,MNTR|cd8364f2-f42d-4301-9484-a05bafe4b901,0,2023-07-03T05:19:12.551600Z,-26.4390917,133.281323,0.15,FRONIUS,cd8364f2-f42d-4301-9484-a05bafe4b901,MNTR,15000,SITE|b6965051-11c2-45a6-99b9-a6b238f69f1d,10,au.bom.site.009225
MNTR|304723c0-9979-4035-afbe-ab3b00672ed4,MNTR|304723c0-9979-4035-afbe-ab3b00672ed4,0,2023-07-03T05:29:39.885553Z,-26.4390917,133.281323,0.15,FRONIUS,304723c0-9979-4035-afbe-ab3b00672ed4,MNTR,13100,SITE|2579df4a-81be-414a-bfa1-7d1449b988d9,10,au.bom.site.009225
MNTR|d9c93ecb-c8c6-4f61-b5fb-da6f8b12d747,MNTR|d9c93ecb-c8c6-4f61-b5fb-da6f8b12d747,0,2022-12-05T00:43:07.916255Z,-26.4390917,133.281323,0.15,SMA,d9c93ecb-c8c6-4f61-b5fb-da6f8b12d747,MNTR,95760,SITE|33814e7b-1cab-41d5-9ecc-80d8b13e53c0,10,au.bom.site.023013
MNTR|e5dbb0a4-cb9a-4781-847f-f16f4b6a33b5,MNTR|e5dbb0a4-cb9a-4781-847f-f16f4b6a33b5,0,2023-07-03T01:40:50.453069Z,-26.4390917,133.281323,0.15,FRONIUS,e5dbb0a4-cb9a-4781-847f-f16f4b6a33b5,MNTR,15000,SITE|b1da875f-acde-4a69-84ce-3423f955ddde,10,au.bom.site.009178
MNTR|6306533,MNTR|6306533,0,2023-02-09T05:14:40.226395Z,-26.4390917,133.281323,0.15,SMA,6306533,MNTR,27750,SITE|137feb5d-5a3c-4456-a189-9ab66fb169f8,10,au.bom.site.009172
MNTR|6ddc09f3-ffbf-47db-b782-a5590049e0a3,MNTR|6ddc09f3-ffbf-47db-b782-a5590049e0a3,0,2023-07-03T02:37:14.989839Z,-26.4390917,133.281323,0.15,FRONIUS,6ddc09f3-ffbf-47db-b782-a5590049e0a3,MNTR,19890,SITE|357d6427-fb48-44dd-b39d-02add6efecf3,10,au.bom.site.009172
MNTR|7fec242e-5863-43f2-bffd-3d9d1c4f843d,MNTR|7fec242e-5863-43f2-bffd-3d9d1c4f843d,0,2023-02-08T00:21:24.475862Z,-26.4390917,133.281323,0.15,SMA,7fec242e-5863-43f2-bffd-3d9d1c4f843d,MNTR,16660,SITE|6fe0b60e-b90c-4a08-ab3d-0c67c5cade9f,10,au.bom.site.018120
MNTR|1c44de86-9bb6-4be2-94d2-893d14a0387a,MNTR|1c44de86-9bb6-4be2-94d2-893d14a0387a,0,2023-02-09T02:07:39.769022Z,-26.4390917,133.281323,0.15,SMA,1c44de86-9bb6-4be2-94d2-893d14a0387a,MNTR,61220,SITE|dd6b30c8-2184-4e12-b116-9f794b0090cc,10,au.bom.site.086077
MNTR|1135711_1_3_1,MNTR|1135711_1_3_1,0,2023-02-02T23:33:51.996071Z,-26.4390917,133.281323,0.15,SUNGROW,1135711_1_3_1,MNTR,137770,SITE|1b2c11b8-b1d7-48ae-ae27-7ae17795e34b,10,au.bom.site.063308
